## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.custom1,entity.custom2,entity.custom3,entity.custom4,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,...
PRODUCT_MI_ALTERNATIVE_ECONOMIC_SCENARIOS,Alternative Economic Scenarios,MI_SOLUTIONS,Want to understand your corporate risk profile? Download a sample of our scenario (GLM) to see how our scenarios tool and Global Link Model can help you understand the impact of small and large changes the global economy on your organization.,,,https://www.spglobal.com/market-intelligence/en/solutions/products/alternative-us-global-scenarios,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,Description:Want to understand your corporate risk profile? Download a sample of our scenario (GLM) to see how our scenarios tool and Global Link Model can help you understand the impact of small and large changes the global economy on your organization.,,,,,,
PRODUCT_MI_ALTERNATIVE_INVESTMENT_FUNDS_AIF_SCORECARD,Alternative Investment Funds (AIF) Scorecard,MI_SOLUTIONS,"Explore S&P Global Market Intelligence's solutions for Alternative Investment Funds. Access comprehensive data, analytics, and insights to drive informed decisions.",,,https://www.spglobal.com/market-intelligence/en/solutions/products/alternative-investment-funds,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,"Description:Explore S&P Global Market Intelligence's solutions for Alternative Investment Funds. Access comprehensive data, analytics, and insights to drive informed decisions.",,,,,,
PRODUCT_MI_ANALYTICAL_SERVICES,Analytical Services,MI_SOLUTIONS,"Leverage your internal data analytics and our unrivalled data, practical regulations knowledge and credit risk management best practices with our Analytical Services",,,https://www.spglobal.com/market-intelligence/en/solutions/analytical-services,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,"Description:Leverage your internal data analytics and our unrivalled data, practical regulations knowledge and credit risk management best practices with our Analytical Services",,,,,,
PRODUCT_MI_ARTIFICIAL_INTELLIGENCE_HUB,Artificial Intelligence Hub,MI_SOLUTIONS,"Solve your high-value, domain-specific challenges using Artificial Intelligence (AI) and machine learning solutions from S&P Global Market Intelligence.",,,https://www.spglobal.com/market-intelligence/en/solutions/artificial-intelligence,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,"Description:Solve your high-value, domain-specific challenges using Artificial Intelligence (AI) and machine learning solutions from S&P Global Market Intelligence.",,,,,,
PRODUCT_MI_AS_REPORTED_DATA,As Reported Data,MI_SOLUTIONS,"As Reported Data provides market-moving economic indicators, unrevised and as reported upon the original day of release.",,,https://www.spglobal.com/market-intelligence/en/solutions/products/as-reported-data,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,"Description:As Reported Data provides market-moving economic indicators, unrevised and as reported upon the original day of release.",,,,,,
PRODUCT_MI_ASIAN_PRICES_AND_WAGE_COSTS_FORECAST,Asian Prices and Wage Costs Forecast,MI_SOLUTIONS,The Asian Pricing and Purchasing service provides covers 15 key Asian countries and over 500 price forecasts for the most comprehensive outlook for pricing and wage rates in Asia.,,,https://www.spglobal.com/market-intelligence/en/solutions/products/prices-wages-asia,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,Description:The Asian Pricing and Purchasing service provides covers 15 key Asian countries and over 500 price forecasts for the most comprehensive outlook for pricing and wage rates in Asia.,,,,,,
PRODUCT_MI_BANK_SCORECARD,Bank Scorecard,MI_SOLUTIONS,"Explore S&P Global's Bank Scorecard for comprehensive bank credit risk analysis. Get insights on ratings, risk, and financial health across global banks.",,,https://www.spglobal.com/market-intelligence/en/solutions/products/bank-scorecard,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,"Description:Explore S&P Global's Bank Scorecard for comprehensive bank credit risk analysis. Get insights on ratings, risk, and financial health across global banks.",,,,,,
PRODUCT_MI_BANKING_RISK_-_FINANCIAL_SECTOR_STABILITY_AND_RISK_ASSESSMENT,Banking Risk - Financial Sector Stability and Risk Assessment,MI_SOLUTIONS,"The Banking Risk Service delivers an early warning system for banking crises, as well as deep and comprehensive assessments and analysis of financial sector stability in almost 50 key emerging markets. Assess structural risk, compare the growth rates and soundness of banking sectors, set country exposure limits or conduct counterparty risk assessments",,,https://www.spglobal.com/market-intelligence/en/solutions/products/banking-risk-service,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,"Description:The Banking Risk Service delivers an early warning system for banking crises, as well as deep and comprehensive assessments and analysis of financial sector stability in almost 50 key emerging markets. Assess structural risk, compare the growth rates and soundness of banking sectors, set country exposure limits or conduct counterparty risk assessments",,,,,,
PRODUCT_MI_BD_ADVANCED,BD Advanced,MI_SOLUTIONS,"Our web-based research, sales, and trading prospecting and targeting tool incorporates potentially the most robust cross-asset class global contact and ownership database in the industry.",,,https://www.spglobal.com/market-intelligence/en/solutions/products/bd-advanced,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,"Description:Our web-based research, sales, and trading prospecting and targeting tool incorporates potentially the most robust cross-asset class global contact and ownership database in the industry.",,,,,,
PRODUCT_MI_BENCHMARKING_PRICING_AND_AGGREGATION_AND_SCENARIO_ANALYSIS,"Benchmarking, Pricing and Aggregation, and Scenario Analysis",MI_SOLUTIONS,Improve your understanding and modeling of country and economic risk across countries and sectors with the support of our country risk consulting team,,,https://www.spglobal.com/market-intelligence/en/solutions/products/benchmarking-pricing-scenario-analysis,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,Description:Improve your understanding and modeling of country and economic risk across countries and sectors with the support of our country risk consulting team,,,,,,
PRODUCT_MI_BESPOKE_MARITIME_DATA_SERVICES,Bespoke Maritime Data Services,MI_SOLUTIONS,"S&P Global Maritime and Trade offers databases covering information including ships, owners and managers, companies, ports and terminals, plus extensive news and image archives.",,,https://www.spglobal.com/market-intelligence/en/solutions/products/maritime-data-index,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,"Description:S&P Global Maritime and Trade offers databases covering information including ships, owners and managers, companies, ports and terminals, plus extensive news and image archives.",,,,,,
PRODUCT_MI_BESPOKE_RISK_SCORING,Bespoke Risk Scoring,MI_SOLUTIONS,Our standard set of quantitative country risk scores provides a comprehensive picture of risk across over 211 countries.,,,https://www.spglobal.com/market-intelligence/en/solutions/products/bespoke-risk-scoring,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,Description:Our standard set of quantitative country risk scores provides a comprehensive picture of risk across over 211 countries.,,,,,,
PRODUCT_MI_BESTEX_-_BEST_EXECUTION_SOLUTION,BestEx - Best Execution Solution,MI_SOLUTIONS,"Monitor and measure execution quality and fulfill best execution obligations with BestEx - S&P Global reporting, compliance and trading analytics solution.",,,https://www.spglobal.com/market-intelligence/en/solutions/products/bestex,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,"Description:Monitor and measure execution quality and fulfill best execution obligations with BestEx - S&P Global reporting, compliance and trading analytics solution.",,,,,,
PRODUCT_MI_BIGDOUGH_BD_INSTITUTIONAL_INVESTOR_DATABASE,BigDough (BD) Institutional Investor Database,MI_SOLUTIONS,"For more than 20 years, the preeminent global database of Institutional Investors: Firms, Funds and Contacts",,,https://www.spglobal.com/market-intelligence/en/solutions/products/bigdough-institutional-investor-database,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,"Description:For more than 20 years, the preeminent global database of Institutional Investors: Firms, Funds and Contacts",,,,,,
PRODUCT_MI_BIGDOUGH_SOLUTIONS,BigDough Solutions,MI_SOLUTIONS,"S&P Global helps investment firms better manage the process of evaluating, utilizing and paying for research and other brokerage services.",,,https://www.spglobal.com/market-intelligence/en/solutions/products/bigdough-solutions,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,"Description:S&P Global helps investment firms better manage the process of evaluating, utilizing and paying for research and other brokerage services.",,,,,,
PRODUCT_MI_BILL_OF_LADING_DATABASE_IMPORT_EXPORT_DATA_PIERS,"Bill of Lading Database, Import Export Data: PIERS",MI_SOLUTIONS,"Import and Exports data for the US and 14 other Countries, via Bills of Lading. PIERS provides users with detailed information such as shipments, volumes, carrier, shipper and destination.",,,https://www.spglobal.com/market-intelligence/en/solutions/products/piers,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,"Description:Import and Exports data for the US and 14 other Countries, via Bills of Lading. PIERS provides users with detailed information such as shipments, volumes, carrier, shipper and destination.",,,,,,
PRODUCT_MI_BOND_PRICING_SERVICES,Bond Pricing Services,MI_SOLUTIONS,"Enhance your business strategy with independent and transparent bond pricing data and liquidity data to support trading, investment decisions, and risk management.",,,https://www.spglobal.com/market-intelligence/en/solutions/pricing-data-bonds,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,"Description:Enhance your business strategy with independent and transparent bond pricing data and liquidity data to support trading, investment decisions, and risk management.",,,,,,
PRODUCT_MI_BONDHOLDER_IDENTIFICATION_BONDHOLDER_ID,"Bondholder Identification, Bondholder ID",MI_SOLUTIONS,"Gain an up-to-date, comprehensive understanding of the investors holding your fixed-income securities, including how much they hold & their investment motives.",,,https://www.spglobal.com/market-intelligence/en/solutions/products/bondholder-identification,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,"Description:Gain an up-to-date, comprehensive understanding of the investors holding your fixed-income securities, including how much they hold & their investment motives.",,,,,,
PRODUCT_MI_BUSINESS_MARKET_INSIGHTS,Business Market Insights,MI_SOLUTIONS,"Business Market Insights is a robust database that provides market-leading forecast views of business employment and output at the state, MSA, and county level.",,,https://www.spglobal.com/market-intelligence/en/solutions/products/business-market-insights,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,"Description:Business Market Insights is a robust database that provides market-leading forecast views of business employment and output at the state, MSA, and county level.",,,,,,
PRODUCT_MI_BUSINESS_SECTOR_COVERAGE,Business Sector Coverage,MI_SOLUTIONS,"Get unparalleled business sector coverage from S&P Global. Access market performance metrics, M&A data, and insightful news and analytics - all in one place.",,,https://www.spglobal.com/market-intelligence/en/solutions/industry-intelligence-and-sector-data,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,"Description:Get unparalleled business sector coverage from S&P Global. Access market performance metrics, M&A data, and insightful news and analytics - all in one place.",,,,,,
PRODUCT_MI_BUY_SIDE_RISK_MANAGEMENT_SOLUTION,Buy Side Risk Management Solution,MI_SOLUTIONS,"Buy Side Risk Management Solution incorporates Value at Risk simulation engine, and multiple decision support tools with our next generation technology on the cloud.",,,https://www.spglobal.com/market-intelligence/en/solutions/products/buy-side-risk-management-solution,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,"Description:Buy Side Risk Management Solution incorporates Value at Risk simulation engine, and multiple decision support tools with our next generation technology on the cloud.",,,,,,
PRODUCT_MI_BUY-SIDE_AI_SOLUTIONS,Buy-Side AI Solutions,MI_SOLUTIONS,"With AI-ready data as the foundation and AI solutions as the engine, organizations unlock opportunities and move with confidence in every decision.",,,https://www.spglobal.com/market-intelligence/en/solutions/artificial-intelligence/buy-side-ai-solutions,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,"Description:With AI-ready data as the foundation and AI solutions as the engine, organizations unlock opportunities and move with confidence in every decision.",,,,,,
PRODUCT_MI_BUYSIDE-IQ,Buyside-IQ,MI_SOLUTIONS,Our investor management and targeting software enables you to use your time on the road more effectively by identifying and prioritizing the best targets. Learn more.,,,https://www.spglobal.com/market-intelligence/en/solutions/products/buyside-iq,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,Description:Our investor management and targeting software enables you to use your time on the road more effectively by identifying and prioritizing the best targets. Learn more.,,,,,,
PRODUCT_MI_CAP_IQ_PRO_WORKFLOW_DISCOVERY,Cap IQ Pro Workflow Discovery,MI_SOLUTIONS,"The S&P Capital IQ Pro platform puts a world of information at your fingertips. Dive in to explore how our data, workflows, and tools can empower you to address your market challenges head-on.",,,https://www.spglobal.com/market-intelligence/en/solutions/products/resources/cap-iq-pro-workflow-discovery,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,"Description:The S&P Capital IQ Pro platform puts a world of information at your fingertips. Dive in to explore how our data, workflows, and tools can empower you to address your market challenges head-on.",,,,,,
PRODUCT_MI_CAPITAL_ACCESS,Capital Access,MI_SOLUTIONS,"Target and engage investors and prospects - and measure and optimize success - on a single investor relations platform, Capital Access.",,,https://www.spglobal.com/market-intelligence/en/solutions/products/capital-access,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,"Description:Target and engage investors and prospects - and measure and optimize success - on a single investor relations platform, Capital Access.",,,,,,
PRODUCT_MI_CAPITAL_IQ_PRO_OFFICE,Capital IQ Pro Office,MI_SOLUTIONS,"Utilize Capital IQ Pro Office by S&P Global for integrated financial data and analytics, supporting informed decision-making and strategic planning.",,,https://www.spglobal.com/market-intelligence/en/solutions/products/resources/sp-capital-iq-pro-office,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,"Description:Utilize Capital IQ Pro Office by S&P Global for integrated financial data and analytics, supporting informed decision-making and strategic planning.",,,,,,
PRODUCT_MI_CAPITAL_IQ_PRO_REAL_ESTATE,Capital IQ Pro Real Estate,MI_SOLUTIONS,"Make well-informed decisions with our in-depth real estate datasets, company financials, proprietary research, and analytical tools.",,,https://www.spglobal.com/market-intelligence/en/solutions/products/resources/capital-iq-pro-real-estate,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,"Description:Make well-informed decisions with our in-depth real estate datasets, company financials, proprietary research, and analytical tools.",,,,,,
PRODUCT_MI_CAPITAL_SURVEILLANCE,Capital Surveillance,MI_SOLUTIONS,"Our global markets intelligence services provides shareholder identification and bondholder identification, activist activity, beneficial ownership analysis and market intelligence and stock intelligence. Learn more.",,,https://www.spglobal.com/market-intelligence/en/solutions/capital-surveillance-solutions,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,"Description:Our global markets intelligence services provides shareholder identification and bondholder identification, activist activity, beneficial ownership analysis and market intelligence and stock intelligence. Learn more.",,,,,,
PRODUCT_MI_CAPPITECH_-_REGULATORY_REPORTING_SOLUTION,Cappitech - Regulatory Reporting Solution,MI_SOLUTIONS,End to end secured automation to meet all your regulatory reporting obligations.,,,https://www.spglobal.com/market-intelligence/en/solutions/products/cappitech,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,Description:End to end secured automation to meet all your regulatory reporting obligations.,,,,,,
PRODUCT_MI_CASUALTY_AND_EVENTS,Casualty and Events,MI_SOLUTIONS,"Mitigate maritime risk with information on more than 121,000 non-serious and serious vessel casualties, including total losses and demolitions.",,,https://www.spglobal.com/market-intelligence/en/solutions/products/casualty-and-events,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,"Description:Mitigate maritime risk with information on more than 121,000 non-serious and serious vessel casualties, including total losses and demolitions.",,,,,,
PRODUCT_MI_CATEGORY_AND_COMMODITY_PRICE_FORECAST_DATA,Category & Commodity Price Forecast Data,MI_SOLUTIONS,"Optimize your global footprint with our 10-year commodity and category prices forecast that includes 500,000+ historic prices, 4,000+ forecasts, and costs.",,,https://www.spglobal.com/market-intelligence/en/solutions/category-and-commodity-price-forecast-data,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,"Description:Optimize your global footprint with our 10-year commodity and category prices forecast that includes 500,000+ historic prices, 4,000+ forecasts, and costs.",,,,,,
PRODUCT_MI_CATEGORY_MANAGEMENT,Category Management,MI_SOLUTIONS,"Get category management solutions with cost saving opportunities and in-depth market analyses of prices, wages costs, productivity, margins, supply and demand.",,,https://www.spglobal.com/market-intelligence/en/solutions/category-management,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,"Description:Get category management solutions with cost saving opportunities and in-depth market analyses of prices, wages costs, productivity, margins, supply and demand.",,,,,,
PRODUCT_MI_CDS_PRICING_DATA,CDS Pricing Data,MI_SOLUTIONS,"Use our CDS data composite and contributor-level data to support price discovery, risk management, compliance, research and valuations.",,,https://www.spglobal.com/market-intelligence/en/solutions/products/pricing-data-cds,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,"Description:Use our CDS data composite and contributor-level data to support price discovery, risk management, compliance, research and valuations.",,,,,,
PRODUCT_MI_CDS_SINGLE_NAMES_PRICING_DATA,CDS Single Names Pricing Data,MI_SOLUTIONS,"Base trades on objective daily credit default swap (CDS) single name pricing data, price discovery, risk management, compliance, research and valuations.",,,https://www.spglobal.com/market-intelligence/en/solutions/products/single-name-pricing-data,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,"Description:Base trades on objective daily credit default swap (CDS) single name pricing data, price discovery, risk management, compliance, research and valuations.",,,,,,
PRODUCT_MI_CECL_SCORECARD,CECL Scorecard,MI_SOLUTIONS,Essential Solutions to Manage Your CECL Implementation,,,https://www.spglobal.com/market-intelligence/en/solutions/cecl,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,Description:Essential Solutions to Manage Your CECL Implementation,,,,,,
PRODUCT_MI_CHARTIQ,ChartIQ,MI_SOLUTIONS,ChartIQ is a data visualization tool and charting solution that brings any dataset to life with interactive graphic displays designed for the financial industry.,,,https://www.spglobal.com/market-intelligence/en/solutions/products/chartiq,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,Description:ChartIQ is a data visualization tool and charting solution that brings any dataset to life with interactive graphic displays designed for the financial industry.,,,,,,
PRODUCT_MI_CHINA_CREDIT_ANALYTICS_PLATFORM,China Credit Analytics Platform,MI_SOLUTIONS,"Unlock advanced credit insights on Chinese public and private companies, bond issuers, and government-related entities (GREs). with China Credit Analytics Platform.",,,https://www.spglobal.com/market-intelligence/en/solutions/products/china-credit-analytics-platform,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,"Description:Unlock advanced credit insights on Chinese public and private companies, bond issuers, and government-related entities (GREs). with China Credit Analytics Platform.",,,,,,
PRODUCT_MI_CHINA_REGIONAL_SERVICE,China Regional Service,MI_SOLUTIONS,"Enhance your operations in China with the China Regional Service which offers market forecasts, risk analysis, and data analysis on China's national economy.",,,https://www.spglobal.com/market-intelligence/en/solutions/products/china-regional-service,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,"Description:Enhance your operations in China with the China Regional Service which offers market forecasts, risk analysis, and data analysis on China's national economy.",,,,,,
PRODUCT_MI_CLARIFI,ClariFI,MI_SOLUTIONS,"Combining powerful analytics and content into a single platform, ClariFI gives you the ability to access data libraries through a hosted or locally installed environment.",,,https://www.spglobal.com/market-intelligence/en/solutions/products/clarifi,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,"Description:Combining powerful analytics and content into a single platform, ClariFI gives you the ability to access data libraries through a hosted or locally installed environment.",,,,,,
PRODUCT_MI_CLIENT_LIFECYCLE_AND_REGULATORY_SOLUTIONS,Client Lifecycle & Regulatory Solutions,MI_SOLUTIONS,Explore our specialist Client Lifecycle and Regulatory Software & Services,,,https://www.spglobal.com/market-intelligence/en/solutions/client-lifecycle-regulatory-solutions/notices-hub,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,Description:Explore our specialist Client Lifecycle and Regulatory Software & Services,,,,,,
PRODUCT_MI_CLIENT_LIFECYCLE_AND_REGULATORY_SOLUTIONS_2,Client Lifecycle & Regulatory Solutions,MI_SOLUTIONS,Explore our specialist Client Lifecycle and Regulatory Software & Services,,,https://www.spglobal.com/market-intelligence/en/solutions/client-lifecycle-regulatory-solutions,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,Description:Explore our specialist Client Lifecycle and Regulatory Software & Services,,,,,,
PRODUCT_MI_CLIENT_LIFECYCLE_AND_REGULATORY_SOLUTIONS_FOR_BUY_SIDES,Client Lifecycle & Regulatory Solutions for Buy Sides,MI_SOLUTIONS,Explore our specialist Client Lifecycle and Regulatory Software & Services,,,https://www.spglobal.com/market-intelligence/en/solutions/client-lifecycle-regulatory-solutions/buy-sides,,,Division:MI,ProductType:,SubscriptionTier:,EligibleAudience:,Description:Explore our specialist Client Lifecycle and Regulatory Software & Services,,,,,,
